Query ID,Model,Rank,Doc ID,Cosine score,Lexical overlap,Passage preview
q_0026,all-MiniLM-L6-v2,4,doc_02092,0.5404,0.167,Topographic maps have a horizontal scale to indicate horizontal distances....
q_0026,all-MiniLM-L6-v2,5,doc_02779,0.5151,0.083,Geologists group rocks based on how they form. There are three major rock types. Each will be described in more detail in the coming concepts....
q_0026,multi-qa-mpnet-base-dot-v1,1,doc_00026,0.7399,0.667,Geologic maps display rock units and geologic features. A small scale map displays individual rock units while a large scale map shows geologic provinces....
q_0026,multi-qa-mpnet-base-dot-v1,2,doc_07546,0.7013,0.083,Geologic maps detail the types and locations of rocks found in an area....
q_0026,multi-qa-mpnet-base-dot-v1,3,doc_01308,0.631,0.417,"A geologic map shows the different rocks that are exposed at the surface of a region. Rock units are shown in a color identified in a key. On the geologic map of the Grand Canyon, for example, different rock types are shown in different col..."
q_0026,multi-qa-mpnet-base-dot-v1,4,doc_02092,0.6211,0.167,Topographic maps have a horizontal scale to indicate horizontal distances....
q_0026,multi-qa-mpnet-base-dot-v1,5,doc_04538,0.5375,0.083,Topographic maps are flat maps that show the three-dimensional surface features of an area. Topographic maps help users see the how the land changes in elevation....
q_0029,all-MiniLM-L6-v2,1,doc_05216,0.8459,0.429,Angiosperms are plants that produce flowers and fruit....
q_0029,all-MiniLM-L6-v2,2,doc_00029,0.8373,0.714,Seed plants called angiosperms produce seeds in the ovaries of flowers....
q_0029,all-MiniLM-L6-v2,3,doc_02603,0.8204,0.714,"Angiosperms are seed plants that produce seeds in the ovaries of flowers. Today, they are by far the most diverse type of seed plants. In fact, the vast majority of all modern plants are angiosperms. There are hundreds of thousands of speci..."
q_0029,all-MiniLM-L6-v2,4,doc_08364,0.8019,0.714,Most modern seed plants are angiosperms that produce seeds in the ovaries of flowers....
q_0029,all-MiniLM-L6-v2,5,doc_06670,0.7781,0.429,"Angiosperms have vascular tissue, seeds, and flowers...."
q_0029,multi-qa-mpnet-base-dot-v1,1,doc_00029,0.8016,0.714,Seed plants called angiosperms produce seeds in the ovaries of flowers....
q_0029,multi-qa-mpnet-base-dot-v1,2,doc_08364,0.7658,0.714,Most modern seed plants are angiosperms that produce seeds in the ovaries of flowers....
q_0029,multi-qa-mpnet-base-dot-v1,3,doc_09843,0.754,0.571,"Angiosperms , or flowering seed plants, form seeds in ovaries. As the seeds develop, the ovaries may develop into fruits. Flowers attract pollinators, and fruits encourage animals to disperse the seeds...."
q_0029,multi-qa-mpnet-base-dot-v1,4,doc_05216,0.7522,0.429,Angiosperms are plants that produce flowers and fruit....
q_0029,multi-qa-mpnet-base-dot-v1,5,doc_02603,0.7148,0.714,"Angiosperms are seed plants that produce seeds in the ovaries of flowers. Today, they are by far the most diverse type of seed plants. In fact, the vast majority of all modern plants are angiosperms. There are hundreds of thousands of speci..."
q_0102,all-MiniLM-L6-v2,1,doc_01658,0.8261,0.625,Proteins are molecules that have many different functions in living things. All proteins are made of monomers called amino acids ( Figure below ) that connect together like beads on a necklace ( Figure below ). There are only 20 common amin...
q_0102,all-MiniLM-L6-v2,2,doc_00978,0.8174,0.375,"Nearly all biological proteins are constructed from a set of just 20 common amino acids. The names, abbreviations, and other information for each of these amino acids are presented in the Table below ...."
q_0102,all-MiniLM-L6-v2,3,doc_08905,0.7911,0.5,Proteins are organic compounds made up of amino acids....
q_0102,all-MiniLM-L6-v2,4,doc_02191,0.7653,0.5,Proteins can differ from one another in the number and sequence (order) of amino acids. It is because of the side chains of the amino acids that proteins with different amino acid sequences have different shapes and different chemical prope...
q_0102,all-MiniLM-L6-v2,5,doc_08189,0.7625,0.625,"A protein is an organic compound made up of small molecules called amino acids . There are 20 different amino acids commonly found in the proteins of living organisms. Small proteins may contain just a few hundred amino acids, whereas large..."
q_0102,multi-qa-mpnet-base-dot-v1,1,doc_00978,0.7674,0.375,"Nearly all biological proteins are constructed from a set of just 20 common amino acids. The names, abbreviations, and other information for each of these amino acids are presented in the Table below ...."
q_0102,multi-qa-mpnet-base-dot-v1,2,doc_02545,0.7553,0.5,"There are 20 common amino acids in proteins. There are 64 possible codons, more than enough to code for the 20 amino acids. The genetic code is shown in Figure below . To see how scientists cracked the genetic code, go to this link: http://..."
q_0102,multi-qa-mpnet-base-dot-v1,3,doc_01658,0.7454,0.625,Proteins are molecules that have many different functions in living things. All proteins are made of monomers called amino acids ( Figure below ) that connect together like beads on a necklace ( Figure below ). There are only 20 common amin...
q_0102,multi-qa-mpnet-base-dot-v1,4,doc_00102,0.7428,0.75,"There are 20 amino acids that make up proteins. With three bases per codon, there are 64 possible codons. This is more than enough to code for the 20 amino acids plus start and stop signals. You can see how to translate the genetic code in ..."
q_0102,multi-qa-mpnet-base-dot-v1,5,doc_02191,0.6912,0.5,Proteins can differ from one another in the number and sequence (order) of amino acids. It is because of the side chains of the amino acids that proteins with different amino acid sequences have different shapes and different chemical prope...
q_0180,all-MiniLM-L6-v2,1,doc_00180,0.9834,0.895,"The atomic number of tungsten is 74. Therefore, in a neutral atom of tungsten, there are 74 electrons. The atomic number of argon is 18. Therefore, in a neutral atom of argon, there are 18 electrons...."
q_0180,all-MiniLM-L6-v2,2,doc_02128,0.6108,0.684,"The atomic number of sulfur is 16. Therefore, in a neutral atom of sulfur, there are 16 electrons. Saylor URL: http://www. saylor. org/books...."
q_0180,all-MiniLM-L6-v2,3,doc_01375,0.5607,0.368,"In an electrically neutral atom, the number of protons equals the number of electrons...."
q_0180,all-MiniLM-L6-v2,4,doc_03687,0.5496,0.632,"Atoms are neutral in electrical charge because they have the same number of negative electrons as positive protons. Therefore, the atomic number of an atom also tells you how many electrons the atom has. This, in turn, determines many of th..."
q_0180,all-MiniLM-L6-v2,5,doc_08612,0.5202,0.316,Electrons are one of three main types of particles that make up the atom. They are extremely small and have an electric charge of -1. All atoms have the same number of electrons as protons....
q_0180,multi-qa-mpnet-base-dot-v1,1,doc_00180,0.9373,0.895,"The atomic number of tungsten is 74. Therefore, in a neutral atom of tungsten, there are 74 electrons. The atomic number of argon is 18. Therefore, in a neutral atom of argon, there are 18 electrons...."
q_0180,multi-qa-mpnet-base-dot-v1,2,doc_00376,0.6623,0.421,"Atoms, which are always neutral in electric charge, contain electrons as well as protons and neutrons. An electron has an electrical charge of -1. If an atom has three electrons, infer how many protons it has...."
q_0180,multi-qa-mpnet-base-dot-v1,3,doc_01375,0.6443,0.368,"In an electrically neutral atom, the number of protons equals the number of electrons...."
q_0180,multi-qa-mpnet-base-dot-v1,4,doc_03039,0.6152,0.211,"Determine the total number of valence (outer shell) electrons. For cations, subtract one electron for each...."
q_0180,multi-qa-mpnet-base-dot-v1,5,doc_01166,0.6107,0.368,"When the number of electrons and the number of protons are equal, the object is neutral...."
q_0276,all-MiniLM-L6-v2,1,doc_00276,0.6317,0.706,Laboratory testing has come to the local drug store or grocery store because of developments in chemistry. You can test your blood glucose using a simple portable device that runs a chemical test on the blood sample and tells you how much g...
q_0276,all-MiniLM-L6-v2,2,doc_05843,0.5752,0.706,Endocrinologist An endocrinologist is a medical doctor who specializes in treating endocrine disorders. An endocrine surgeon specializes in the surgical treatment of endocrine diseases and glands. Some of the diseases that are managed by en...
q_0276,all-MiniLM-L6-v2,3,doc_03536,0.5541,0.706,"Endocrinologist An endocrinologist is a medical doctor who specializes in treating disorders of the endocrine glands, hormone systems, and glucose and lipid metabolic pathways. An endocrine surgeon specializes in the surgical treatment of e..."
q_0276,all-MiniLM-L6-v2,4,doc_09740,0.5421,0.353,"Figure 20.13 Diabetes is a disease characterized by high concentrations of glucose in the blood. Treating diabetes involves making lifestyle changes, monitoring blood-sugar levels, and sometimes insulin injections. (credit: “Blausen Medical..."
q_0276,all-MiniLM-L6-v2,5,doc_02585,0.4757,0.412,"Diabetes is a non-infectious disease in which the body is unable to control the amount of sugar in the blood. People with diabetes have high blood sugar, either because their bodies do not produce enough insulin, or because their cells do n..."
q_0276,multi-qa-mpnet-base-dot-v1,1,doc_09740,0.5923,0.353,"Figure 20.13 Diabetes is a disease characterized by high concentrations of glucose in the blood. Treating diabetes involves making lifestyle changes, monitoring blood-sugar levels, and sometimes insulin injections. (credit: “Blausen Medical..."
q_0276,multi-qa-mpnet-base-dot-v1,2,doc_05338,0.5884,0.176,Negative feedback also controls insulin secretion by the pancreas. You can interact with a feedback loop of this process at the link below. http://www. abpischools. org. uk/page/modules/hormones/horm6. cfm?coSiteNavigation_allTopic=1....
q_0276,multi-qa-mpnet-base-dot-v1,3,doc_06197,0.574,0.471,"This animation (http://openstaxcollege. org/l/insulin) describe the role of insulin and the pancreas in diabetes. Impaired insulin function can lead to a condition called diabetes mellitus, the main symptoms of which are illustrated in Figu..."
q_0276,multi-qa-mpnet-base-dot-v1,4,doc_01347,0.5688,0.471,"Regulation of Blood Glucose Levels by Insulin and Glucagon Cells of the body require nutrients in order to function, and these nutrients are obtained through feeding. In order to manage nutrient intake, storing excess intake and utilizing r..."
q_0276,multi-qa-mpnet-base-dot-v1,5,doc_05843,0.5477,0.706,Endocrinologist An endocrinologist is a medical doctor who specializes in treating endocrine disorders. An endocrine surgeon specializes in the surgical treatment of endocrine diseases and glands. Some of the diseases that are managed by en...
q_0316,all-MiniLM-L6-v2,1,doc_06131,0.7087,0.154,Friction is caused by bodies sliding over rough surfaces....
q_0316,all-MiniLM-L6-v2,2,doc_09814,0.6655,0.154,Friction is a force that opposes motion between any surfaces that are touching....
q_0316,all-MiniLM-L6-v2,3,doc_02887,0.6308,0.385,"Friction is a force that opposes motion between any surfaces that are touching. Friction can work for or against us. For example, putting sand on an icy sidewalk increases friction so you are less likely to slip. On the other hand, too much..."
q_0316,all-MiniLM-L6-v2,4,doc_06934,0.6219,0.308,Kinetic friction acts between two surfaces that are in contact and in motion with respect to each other. This force reduces the acceleration and it always opposes the direction of motion....
q_0316,all-MiniLM-L6-v2,5,doc_06888,0.6131,0.154,"Fluid friction occurs in fluids, which are liquids or gases...."
q_0316,multi-qa-mpnet-base-dot-v1,1,doc_06131,0.6985,0.154,Friction is caused by bodies sliding over rough surfaces....
q_0316,multi-qa-mpnet-base-dot-v1,2,doc_06888,0.6924,0.154,"Fluid friction occurs in fluids, which are liquids or gases...."
q_0316,multi-qa-mpnet-base-dot-v1,3,doc_00316,0.6602,0.846,"You know that friction produces heat. That’s why rubbing your hands together makes them warmer. But do you know why the rubbing produces heat? Friction causes the molecules on rubbing surfaces to move faster, so they have more heat energy. ..."
q_0316,multi-qa-mpnet-base-dot-v1,4,doc_09814,0.6399,0.154,Friction is a force that opposes motion between any surfaces that are touching....
q_0316,multi-qa-mpnet-base-dot-v1,5,doc_06934,0.637,0.308,Kinetic friction acts between two surfaces that are in contact and in motion with respect to each other. This force reduces the acceleration and it always opposes the direction of motion....
q_0324,all-MiniLM-L6-v2,1,doc_00324,0.6948,0.947,"This equation is based on the conservation of energy and conservation of charge. Electrical potential energy can be described by the equation PE = qV , where q is the electric charge and V is the voltage. Thus the energy supplied by the sou..."
q_0324,all-MiniLM-L6-v2,2,doc_09563,0.6016,0.158,Potential energy is present in objects that are ______________....
q_0324,all-MiniLM-L6-v2,3,doc_01171,0.5794,0.158,Give examples of energy conversions between potential and kinetic energy....
q_0324,all-MiniLM-L6-v2,4,doc_06011,0.5736,0.158,Potential energy is energy that is stored in a person or object....
q_0324,all-MiniLM-L6-v2,5,doc_00204,0.5708,0.579,"The second equation is equivalent to the first. Voltage is not the same as energy. Voltage is the energy per unit charge. Thus a motorcycle battery and a car battery can both have the same voltage (more precisely, the same potential differe..."
q_0324,multi-qa-mpnet-base-dot-v1,1,doc_00324,0.7557,0.947,"This equation is based on the conservation of energy and conservation of charge. Electrical potential energy can be described by the equation PE = qV , where q is the electric charge and V is the voltage. Thus the energy supplied by the sou..."
q_0324,multi-qa-mpnet-base-dot-v1,2,doc_05110,0.6664,0.158,"Electric energy is measured in joules per second, or watts...."
q_0324,multi-qa-mpnet-base-dot-v1,3,doc_01171,0.6606,0.158,Give examples of energy conversions between potential and kinetic energy....
q_0324,multi-qa-mpnet-base-dot-v1,4,doc_07764,0.651,0.211,A: Electric charges flow when they have electric potential energy. Potential energy is stored energy that an object has due to its position or shape....
q_0324,multi-qa-mpnet-base-dot-v1,5,doc_07668,0.6432,0.211,where k is a constant equal to Electric Potential....
q_0398,all-MiniLM-L6-v2,1,doc_00398,0.6702,0.818,"A body that is lying down is described as either prone or supine. Prone describes a face-down orientation, and supine describes a face up orientation. These terms are sometimes used in describing the position of the body during specific phy..."
q_0398,all-MiniLM-L6-v2,2,doc_09934,0.5516,0.364,"Rotational Movement Rotational movement is the movement of a bone as it rotates around its longitudinal axis. Rotation can be toward the midline of the body, which is referred to as medial rotation, or away from the midline of the body, whi..."
q_0398,all-MiniLM-L6-v2,3,doc_01083,0.4848,0.455,"Thoracic Vertebrae The bodies of the thoracic vertebrae are larger than those of cervical vertebrae (Figure 7.26). The characteristic feature for a typical midthoracic vertebra is the spinous process, which is long and has a pronounced down..."
q_0398,all-MiniLM-L6-v2,4,doc_06278,0.4614,0.091,Direction is an important component of motion....
q_0398,all-MiniLM-L6-v2,5,doc_01434,0.4549,0.182,"The skeleton supports the body and gives it shape. It has several other functions as well, including:...."
q_0398,multi-qa-mpnet-base-dot-v1,1,doc_00398,0.7577,0.818,"A body that is lying down is described as either prone or supine. Prone describes a face-down orientation, and supine describes a face up orientation. These terms are sometimes used in describing the position of the body during specific phy..."
q_0398,multi-qa-mpnet-base-dot-v1,2,doc_00943,0.5631,0.0,Sedimentary rock layers that are not horizontal are deformed....
q_0398,multi-qa-mpnet-base-dot-v1,3,doc_01649,0.5553,0.364,Inversions are reversing the orientation of a chromosomal segment....
q_0398,multi-qa-mpnet-base-dot-v1,4,doc_07017,0.5485,0.273,The location of an object in a frame of reference is called position....
q_0398,multi-qa-mpnet-base-dot-v1,5,doc_02738,0.5386,0.0,Sedimentary rocks that are not horizontal have been deformed....
q_0463,all-MiniLM-L6-v2,1,doc_00463,0.7912,0.941,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract ....
q_0463,all-MiniLM-L6-v2,2,doc_02607,0.6488,0.353,"When two or more waves meet, they interact with each other. The interaction of waves with other waves is called wave interference . Wave interference may occur when two waves that are traveling in opposite directions meet. The two waves pas..."
q_0463,all-MiniLM-L6-v2,3,doc_07146,0.6153,0.235,Waves interact not only with matter in the ways described above. Waves also interact with other waves. This is called wave interference . Wave interference may occur when two waves that are traveling in opposite directions meet. The two wav...
q_0463,all-MiniLM-L6-v2,4,doc_05939,0.5581,0.059,Destructive interference in waves occurs when two troughs overlap....
q_0463,all-MiniLM-L6-v2,5,doc_00743,0.551,0.235,"Any two waves in the same medium undergo wave interference as they pass each other. At the location where the two waves collide, the result is essentially a summation of the two waves. In some places, a wave crest from one source will overl..."
q_0463,multi-qa-mpnet-base-dot-v1,1,doc_00463,0.7627,0.941,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract ....
q_0463,multi-qa-mpnet-base-dot-v1,2,doc_00182,0.6761,0.118,Transmitted light may be refracted or scattered. When does each process occur?....
q_0463,multi-qa-mpnet-base-dot-v1,3,doc_05929,0.6603,0.176,Light may be refracted by matter. The light is bent when it passes from one type of matter to another. Refraction of light is similar to refraction of sound waves. You can also read more about refraction of light in the lesson “Optics. ”....
q_0463,multi-qa-mpnet-base-dot-v1,4,doc_01241,0.6512,0.118,Diffraction occurs when waves spread out as they travel around obstacles or through openings in obstacles....
q_0463,multi-qa-mpnet-base-dot-v1,5,doc_03801,0.6486,0.176,"Three ways that waves may interact with matter are reflection, refraction, and diffraction...."
